Order Id,Order Date,Ship Date,Ship Mode,Customer Name,Segment,State,Country,Market,Region,Product Id,Category,Sub Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Year
AG-2011-2040,01-01-2011,06-01-2011,Standard Class,Toby Braunhardt,Consumer,Constantine,Algeria,Africa,Africa,OFF-TEN-10000025,Office Supplies,Storage,"Tenex Lockers, Blue",408,2,0,106.14,35.46,Medium,2011
IN-2011-47883,01-01-2011,08-01-2011,Standard Class,Joseph Holt,Consumer,New South Wales,Australia,APAC,Oceania,OFF-SU-10000618,Office Supplies,Supplies,"Acme Trimmer, High Speed",120,3,0.1,36.036,9.72,Medium,2011
HU-2011-1220,01-01-2011,05-01-2011,Second Class,Annie Thurman,Consumer,Budapest,Hungary,EMEA,EMEA,OFF-TEN-10001585,Office Supplies,Storage,"Tenex Box, Single Width",66,4,0,29.64,8.17,High,2011
IT-2011-3647632,01-01-2011,05-01-2011,Second Class,Eugene Moren,Home Office,Stockholm,Sweden,EU,North,OFF-PA-10001492,Office Supplies,Paper,"Enermax Note Cards, Premium",45,3,0.5,-26.055,4.82,High,2011
IN-2011-47883,01-01-2011,08-01-2011,Standard Class,Joseph Holt,Consumer,New South Wales,Australia,APAC,Oceania,FUR-FU-10003447,Furniture,Furnishings,"Eldon Light Bulb, Duo Pack",114,5,0.1,37.77,4.7,Medium,2011
IN-2011-47883,01-01-2011,08-01-2011,Standard Class,Joseph Holt,Consumer,New South Wales,Australia,APAC,Oceania,OFF-PA-10001968,Office Supplies,Paper,"Eaton Computer Printout Paper, 8.5 x 11",55,2,0.1,15.342,1.8,Medium,2011
CA-2011-1510,02-01-2011,06-01-2011,Standard Class,Magdelene Morse,Consumer,Ontario,Canada,Canada,Canada,TEC-OKI-10002750,Technology,Machines,"Okidata Inkjet, Wireless",314,1,0,3.12,24.1,Medium,2011
IN-2011-79397,03-01-2011,03-01-2011,Same Day,Kean Nguyen,Corporate,New South Wales,Australia,APAC,Oceania,OFF-AP-10000304,Office Supplies,Appliances,"Hoover Microwave, White",276,1,0.1,110.412,125.32,Critical,2011
ID-2011-80230,03-01-2011,09-01-2011,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,APAC,Oceania,TEC-CO-10004182,Technology,Copiers,"Hewlett Wireless Fax, Laser",912,4,0.4,-319.464,107.1,Low,2011
IZ-2011-4680,03-01-2011,07-01-2011,Standard Class,Lindsay Williams,Corporate,Ninawa,Iraq,EMEA,EMEA,FUR-NOV-10002791,Furniture,Chairs,"Novimex Swivel Stool, Set of Two",667,4,0,253.32,81.26,High,2011
IN-2011-65159,03-01-2011,07-01-2011,Second Class,Larry Blacks,Consumer,National Capital,Philippines,APAC,Southeast Asia,OFF-ST-10003020,Office Supplies,Storage,"Tenex Lockers, Industrial",338,3,0.45,-122.8005,33.75,High,2011
IN-2011-65159,03-01-2011,07-01-2011,Second Class,Larry Blacks,Consumer,National Capital,Philippines,APAC,Southeast Asia,FUR-TA-10002797,Furniture,Tables,"Chromcraft Round Table, Adjustable Height",211,1,0.55,-70.3995,21.32,High,2011
ES-2011-4869686,03-01-2011,07-01-2011,Standard Class,Dorothy Dickinson,Consumer,England,United Kingdom,EU,North,FUR-BO-10000728,Furniture,Bookcases,"Dania Corner Shelving, Traditional",854,7,0,290.43,12.56,Medium,2011
IN-2011-33652,03-01-2011,09-01-2011,Standard Class,Dennis Pardue,Home Office,Sarawak,Malaysia,APAC,Southeast Asia,TEC-CO-10000594,Technology,Copiers,"Hewlett Fax and Copier, Laser",193,1,0,50.13,10.4,Medium,2011
ID-2011-80230,03-01-2011,09-01-2011,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,APAC,Oceania,FUR-CH-10000214,Furniture,Chairs,"Hon Rocking Chair, Set of Two",159,2,0.4,-95.676,10.07,Low,2011
MX-2011-160234,03-01-2011,07-01-2011,Standard Class,Stewart Visinsky,Consumer,Guatemala,Guatemala,LATAM,Central,TEC-PH-10002647,Technology,Phones,"Nokia Headset, VoIP",195,4,0,44.88,8.43,Medium,2011
IR-2011-770,03-01-2011,07-01-2011,Standard Class,Jas O'Carroll,Consumer,Yazd,Iran,EMEA,EMEA,OFF-BRE-10003081,Office Supplies,Appliances,"Breville Coffee Grinder, Black",123,2,0,42.9,8.41,Medium,2011
ID-2011-80230,03-01-2011,09-01-2011,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,APAC,Oceania,TEC-AC-10002881,Technology,Accessories,"Belkin Numeric Keypad, Bluetooth",69,2,0.4,3.42,8.34,Low,2011
ID-2011-80230,03-01-2011,09-01-2011,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,APAC,Oceania,FUR-CH-10000666,Furniture,Chairs,"SAFCO Chairmat, Black",69,2,0.4,-26.412,8.17,Low,2011
ID-2011-12596,03-01-2011,08-01-2011,Standard Class,Chris McAfee,Consumer,Nakhon Ratchasima,Thailand,APAC,Southeast Asia,OFF-ST-10002066,Office Supplies,Storage,"Smead File Cart, Blue",135,2,0.47,-45.9018,7.74,Medium,2011
IN-2011-79397,03-01-2011,03-01-2011,Same Day,Kean Nguyen,Corporate,New South Wales,Australia,APAC,Oceania,OFF-LA-10003396,Office Supplies,Labels,"Avery Color Coded Labels, Laser Printer Compatible",36,3,0.1,4.743,7.46,Critical,2011
IR-2011-7690,03-01-2011,08-01-2011,Second Class,Nat Gilpin,Corporate,Razavi Khorasan,Iran,EMEA,EMEA,OFF-BIC-10000582,Office Supplies,Art,"BIC Sketch Pad, Water Color",52,1,0,7.77,5.91,High,2011
